Static,CollectorName,"ADS"
Static,CollectorVersion,"3.1.0"
Static,CollectorInterval,10
Static,SystemName,"nj3p-ddnbads06b"
Static,IP,"127.0.0.1"
Static,OS,"SunOS 5.10 Generic_147148-26"
Static,Description,"ADS System pending request per ADH Server ID"
Static,LiveStandby,1
Static,TimestampFormat,"%d/%m/%Y %H:%M:%S"
Static,Timestamp,"19/08/2025 00:00:06"
HeaderMetric,"Timestamp","Timestamp","Timestamp","Dynamic","SnapShot"
HeaderMetric,"LiveStandby","LiveStandby","Live/Standby","Dynamic","SnapShot"
HeaderMetric,"Service_0_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_1_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_2_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_3_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_4_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_5_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_6_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_7_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_8_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_9_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_10_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_11_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_12_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_13_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_14_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_15_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_16_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_17_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_18_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_19_ServerID_1s_snap","ID","Number","Dynamic","Snapshot"
HeaderMetric,"Service_0_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_1_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_2_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_3_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_4_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_5_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_6_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_7_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_8_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_9_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_10_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_11_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_12_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_13_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_14_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_15_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_16_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_17_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_18_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_19_Total_Request_1s_snap","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_0_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_1_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_2_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_3_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_4_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_5_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_6_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_7_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_8_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_9_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_10_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_11_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_12_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_13_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_14_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_15_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_16_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_17_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_18_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_19_Pending_Request_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_0_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_1_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_2_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_3_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_4_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_5_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_6_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_7_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_8_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
HeaderMetric,"Service_9_Pending_Response_1s_peak","count","Number","Dynamic","Snapshot"
